R1_PINH1,72.39,73.66,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWUSB,57.97,81.17,0.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,52.13,38.65,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,150.40,70.99,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,77.47,73.66,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,149.84,67.37,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,145.35,67.17,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,51.84,94.19,0.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,92.77,48.08,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,102.87,35.56,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,125.21,23.75,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,129.92,22.04,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,119.76,23.60,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,115.77,24.28,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,136.02,22.99,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,37.73,116.76,0.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,15.24,114.30,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,66.04,69.85,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,49.53,113.03,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,7.62,27.94,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,33.02,113.03,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,120.65,71.11,0.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,95.33,54.13,0.00,,SJ
TP1,-2.66,33.16,0.00,"TPB1,27","B1,27"
TP10,-0.66,26.98,0.00,"TPB1,27","B1,27"
TP11,-1.80,23.71,0.00,"TPB1,27","B1,27"
TP12,5.59,32.58,0.00,"TPB1,27","B1,27"
TP13,-4.05,23.91,0.00,"TPB1,27","B1,27"
TP14,-8.34,19.93,0.00,"TPB1,27","B1,27"
TP15,1.92,23.28,0.00,"TPB1,27","B1,27"
TP16,4.29,23.89,0.00,"TPB1,27","B1,27"
TP17,2.17,27.53,0.00,"TPB1,27","B1,27"
TP2,1.75,32.96,0.00,"TPB1,27","B1,27"
TP3,-6.22,33.18,0.00,"TPB1,27","B1,27"
TP4,4.45,20.71,0.00,"TPB1,27","B1,27"
TP5,-3.67,28.72,0.00,"TPB1,27","B1,27"
TP6,-7.87,24.32,0.00,"TPB1,27","B1,27"
TP7,-4.37,20.17,0.00,"TPB1,27","B1,27"
TP8,-1.25,19.84,0.00,"TPB1,27","B1,27"
TP9,-7.17,29.49,0.00,"TPB1,27","B1,27"
U1,34.05,29.71,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,4.07,62.24,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,77.47,63.50,90.00,DS3231SN#,SOIC127P1032X265-16N
U4,102.24,64.18,0.00,MAX17048G+T10,SON50P200X200X80-9N
